"","label"
"GSM158714","inv(16)"
"GSM158725","inv(16)"
"GSM158742","inv(16)"
"GSM158791","inv(16)"
"GSM158803","inv(16)"
"GSM158830","inv(16)"
"GSM158839","inv(16)"
"GSM158877","inv(16)"
"GSM158888","inv(16)"
"GSM158900","inv(16)"
"GSM158904","inv(16)"
"GSM158914","inv(16)"
"GSM158918","inv(16)"
"GSM158919","inv(16)"
"GSM158922","inv(16)"
"GSM158923","inv(16)"
"GSM158931","inv(16)"
"GSM158945","inv(16)"
"GSM158959","inv(16)"
"GSM158993","inv(16)"
"GSM158999","inv(16)"
"GSM159006","inv(16)"
"GSM159012","inv(16)"
"GSM159026","inv(16)"
"GSM159031","inv(16)"
"GSM159059","inv(16)"
"GSM159061","inv(16)"
"GSM159084","inv(16)"
"GSM159124","inv(16)"
"GSM159137","inv(16)"
"GSM159149","inv(16)"
"GSM159161","inv(16)"
"GSM159166","inv(16)"
"GSM158728","t(15;17)"
"GSM158773","t(15;17)"
"GSM158811","t(15;17)"
"GSM158812","t(15;17)"
"GSM158813","t(15;17)"
"GSM158841","t(15;17)"
"GSM158849","t(15;17)"
"GSM158851","t(15;17)"
"GSM158853","t(15;17)"
"GSM158859","t(15;17)"
"GSM158860","t(15;17)"
"GSM158863","t(15;17)"
"GSM158885","t(15;17)"
"GSM158890","t(15;17)"
"GSM158920","t(15;17)"
"GSM158921","t(15;17)"
"GSM158926","t(15;17)"
"GSM159111","t(15;17)"
"GSM159142","t(15;17)"
"GSM159143","t(15;17)"
"GSM159147","t(15;17)"
"GSM158712","t(8;21)"
"GSM158716","t(8;21)"
"GSM158719","t(8;21)"
"GSM158721","t(8;21)"
"GSM158722","t(8;21)"
"GSM158750","t(8;21)"
"GSM158752","t(8;21)"
"GSM158781","t(8;21)"
"GSM158799","t(8;21)"
"GSM158810","t(8;21)"
"GSM158814","t(8;21)"
"GSM158861","t(8;21)"
"GSM158873","t(8;21)"
"GSM158878","t(8;21)"
"GSM158899","t(8;21)"
"GSM158905","t(8;21)"
"GSM158906","t(8;21)"
"GSM158911","t(8;21)"
"GSM158912","t(8;21)"
"GSM158925","t(8;21)"
"GSM158927","t(8;21)"
"GSM158966","t(8;21)"
"GSM158970","t(8;21)"
"GSM158982","t(8;21)"
"GSM158984","t(8;21)"
"GSM158985","t(8;21)"
"GSM159005","t(8;21)"
"GSM159032","t(8;21)"
"GSM159037","t(8;21)"
"GSM159050","t(8;21)"
"GSM159068","t(8;21)"
"GSM159081","t(8;21)"
"GSM159097","t(8;21)"
"GSM159105","t(8;21)"
"GSM159110","t(8;21)"
