"","label"
"GSM445939","inv(16)"
"GSM445940","inv(16)"
"GSM445952","inv(16)"
"GSM445965","inv(16)"
"GSM445966","inv(16)"
"GSM445995","inv(16)"
"GSM446005","inv(16)"
"GSM446015","inv(16)"
"GSM446019","inv(16)"
"GSM446020","inv(16)"
"GSM446030","inv(16)"
"GSM446032","inv(16)"
"GSM446033","inv(16)"
"GSM446035","inv(16)"
"GSM446036","inv(16)"
"GSM446037","inv(16)"
"GSM446038","inv(16)"
"GSM446039","inv(16)"
"GSM446047","inv(16)"
"GSM446056","inv(16)"
"GSM446088","inv(16)"
"GSM446102","inv(16)"
"GSM446119","inv(16)"
"GSM446120","inv(16)"
"GSM446127","inv(16)"
"GSM446143","inv(16)"
"GSM446147","inv(16)"
"GSM445923","t(15;17)"
"GSM446023","t(15;17)"
"GSM446027","t(15;17)"
"GSM446058","t(15;17)"
"GSM446059","t(15;17)"
"GSM446096","t(15;17)"
"GSM446099","t(15;17)"
"GSM446115","t(15;17)"
"GSM446117","t(15;17)"
"GSM446118","t(15;17)"
"GSM446124","t(15;17)"
"GSM446130","t(15;17)"
"GSM446137","t(15;17)"
"GSM446140","t(15;17)"
"GSM446142","t(15;17)"
"GSM446145","t(15;17)"
"GSM446148","t(15;17)"
"GSM446149","t(15;17)"
"GSM446151","t(15;17)"
"GSM445922","t(8;21)"
"GSM445935","t(8;21)"
"GSM445938","t(8;21)"
"GSM445943","t(8;21)"
"GSM445950","t(8;21)"
"GSM445959","t(8;21)"
"GSM445964","t(8;21)"
"GSM445970","t(8;21)"
"GSM445972","t(8;21)"
"GSM445983","t(8;21)"
"GSM445989","t(8;21)"
"GSM445990","t(8;21)"
"GSM446010","t(8;21)"
"GSM446017","t(8;21)"
"GSM446025","t(8;21)"
"GSM446034","t(8;21)"
"GSM446051","t(8;21)"
"GSM446054","t(8;21)"
"GSM446055","t(8;21)"
"GSM446057","t(8;21)"
"GSM446066","t(8;21)"
"GSM446067","t(8;21)"
"GSM446123","t(8;21)"
"GSM446125","t(8;21)"
"GSM446128","t(8;21)"
"GSM446129","t(8;21)"
"GSM446139","t(8;21)"
"GSM446146","t(8;21)"
